teamname,color_1,color_2,color_3
Atlanta Hawks,#E03A3E,#C1D32F,#26282A
Boston Celtics,#007A33,#BA9653,#FFFFFF
Brooklyn Nets,#000000,#FFFFFF,#757D8A
Charlotte Hornets,#00788C,#1D1160,#A1A1A4
Chicago Bulls,#CE1141,#000000,#FFFFFF
Cleveland Cavaliers,#860038,#FFB81C,#041E42
Dallas Mavericks,#00538C,#002B5E,#B8C4CA
Denver Nuggets,#0E2240,#FEC524,#8B2131
Detroit Pistons,#C8102E,#006BB6,#ED174C
Golden State Warriors,#1D428A,#FDB927,#FFFFFF
Houston Rockets,#CE1141,#C4CED4,#000000
Indiana Pacers,#FDBB30,#002D62,#BEC0C2
Los Angeles Clippers,#C8102E,#1D428A,#000000
Los Angeles Lakers,#552583,#FDB927,#FFFFFF
Memphis Grizzlies,#5A83d6,#12173F,#F5B112
Miami Heat,#98002E,#F9A01B,#000000
Milwaukee Bucks,#00471B,#EEE1C6,#0077C0
Minnesota Timberwolves,#236192,#0C2340,#236192
New Orleans Pelicans,#C8102E,#0C2340,#85714D
New York Knicks,#F58426,#006BB6,#FFFFFF
Oklahoma City Thunder,#007AC1,#EF3B24,#FDBB30
Orlando Magic,#0077C0,#C4CED4,#000000
Philadelphia 76ers,#006BB6,#ED174C,#FFFFFF
Phoenix Suns,#371C70,#E56020,#000000
Portland Trail Blazers,#E03A3E,#000000,#FFFFFF
Sacramento Kings,#5A2D81,#63727A,#000000
San Antonio Spurs,#000000,#C4CED4,#FFFFFF
Toronto Raptors,#CE1141,#000000,#FFFFFF
Utah Jazz,#753BBD,#002B5C,#00471B
Washington Wizards,#002880,#E31837,#C4CED4
